tEngineeringSurveyType;1;Инженерно-геодезические изыскания
tEngineeringSurveyType;2;Инженерно-геологические изыскания
tEngineeringSurveyType;3;Инженерно-гидрометеорологические изыскания
tEngineeringSurveyType;4;Инженерно-экологические изыскания
tEngineeringSurveyType;5;Инженерно-геотехнические изыскания
tEngineeringSurveyType;6;Геотехнические исследования
tEngineeringSurveyType;7;Обследования состояния грунтов оснований зданий и сооружений, их строительных конструкций
tEngineeringSurveyType;8;Поиск и разведка подземных вод для целей водоснабжения
tEngineeringSurveyType;9;Локальный мониторинг компонентов окружающей среды
tEngineeringSurveyType;10;Разведка грунтовых строительных материалов
tEngineeringSurveyType;11;Локальные обследования загрязнения грунтов и грунтовых вод
